"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",36.68,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",37.12,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",37.13,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",37.13,
"DEU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",37.13,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",34.81,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",34.81,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",34.81,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",34.81,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",34.81,
"GRC","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",34.81,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",22.62,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",22.62,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",22.62,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",22.62,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",22.62,
"HUN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",22.62,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",20.61,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",20.69,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",20.69,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",20.69,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",20.69,
"ISL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",20.69,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",13.35,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",13.35,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",13.35,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",13.35,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",13.35,
"IRL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",13.35,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",21.13,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",21.14,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",21.17,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",21.17,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",21.17,
"ITA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",21.17,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",20.05,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",20.05,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",20.05,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",20.05,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",20.05,
"JPN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",20.05,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",15.2,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",15.22,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",15.23,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",15.23,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",15.23,
"KOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",15.23,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",45.67,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",51.37,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",51.37,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",51.37,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",51.37,
"LUX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",51.37,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",13.58,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",13.79,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",13.9,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",13.93,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",13.94,
"MEX","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",13.94,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",18.24,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",18.68,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",20.66,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",21.36,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",21.36,
"NLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",21.36,
"NZL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",32.81,
"NZL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",32.82,
"NZL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",32.86,
"NZL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",32.93,
"NZL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",32.93,
"NZL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",32.93,
"NOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",17.4,
"NOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",17.48,
"NOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",17.66,
"NOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",17.94,
"NOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",17.94,
"NOR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",17.94,
"POL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",39.64,
"POL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",39.64,
"POL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",39.65,
"POL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",39.67,
"POL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",39.67,
"POL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",39.67,
"PRT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",22.3,
"PRT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",22.3,
"PRT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",22.3,
"PRT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",22.3,
"PRT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",22.3,
"PRT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",22.3,
"SVK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",37.22,
"SVK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",37.25,
"SVK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",37.59,
"SVK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",37.59,
"SVK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",37.59,
"SVK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",37.59,
"ESP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",27.96,
"ESP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",27.97,
"ESP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",27.98,
"ESP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",27.98,
"ESP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",27.98,
"ESP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",27.98,
"SWE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",13.71,
"SWE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",13.79,
"SWE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",13.97,
"SWE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",14.18,
"SWE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",14.2,
"SWE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",14.2,
"CHE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",10.03,
"CHE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",10.04,
"CHE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",10.26,
"CHE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",10.27,
"CHE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",10.27,
"CHE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",10.27,
"GBR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",27.59,
"GBR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",27.62,
"GBR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",27.63,
"GBR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",27.63,
"GBR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",27.63,
"GBR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",27.63,
"USA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",12.54,
"USA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",12.54,
"USA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",12.54,
"USA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",12.54,
"USA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",12.54,
"USA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",12.54,
"G7M","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",12.77,
"G7M","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",12.79,
"G7M","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",12.81,
"G7M","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",13.01,
"G7M","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",13.02,
"G7M","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",13.02,
"ARG","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",8.27,
"ARG","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",8.29,
"ARG","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",8.33,
"ARG","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",8.39,
"ARG","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",8.39,
"ARG","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",8.39,
"ARM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",24.11,
"ARM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",24.11,
"ARM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",24.11,
"ARM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",24.11,
"ARM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",24.11,
"ARM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",24.11,
"AZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",5.63,
"AZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",5.63,
"AZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",5.63,
"AZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",5.93,
"AZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",5.93,
"AZE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",5.93,
"BLR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",9.73,
"BLR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",9.73,
"BLR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",9.73,
"BLR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",9.73,
"BLR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",9.73,
"BLR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",9.73,
"BRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",29.15,
"BRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",29.48,
"BRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",29.48,
"BRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",29.8,
"BRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",29.8,
"BRA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",29.8,
"BGR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",40.43,
"BGR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",40.43,
"BGR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",40.43,
"BGR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",40.43,
"BGR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",40.43,
"BGR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",40.43,
"CHL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",14.88,
"CHL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",14.88,
"CHL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",14.88,
"CHL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",15.61,
"CHL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",17.67,
"CHL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",17.67,
"CHN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",0.95,
"CHN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",0.96,
"CHN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",1.42,
"CHN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",1.72,
"CHN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",1.72,
"CHN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",1.72,
"COL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",15.95,
"COL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",16.05,
"COL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",16.29,
"COL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",16.91,
"COL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",16.96,
"COL","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",16.96,
"CRI","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",30.35,
"CRI","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",30.35,
"CRI","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",30.35,
"CRI","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",30.35,
"CRI","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",30.35,
"CRI","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",30.35,
"HRV","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",36.62,
"HRV","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",36.63,
"HRV","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",36.63,
"HRV","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",36.63,
"HRV","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",36.63,
"HRV","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",36.63,
"CYP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",37.16,
"CYP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",38.69,
"CYP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",38.69,
"CYP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",38.69,
"CYP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",38.69,
"CYP","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",38.69,
"EST","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",18.13,
"EST","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",18.14,
"EST","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",18.25,
"EST","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",18.37,
"EST","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",18.37,
"EST","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",18.37,
"GEO","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",9.31,
"GEO","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",9.31,
"GEO","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",9.31,
"GEO","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",9.31,
"GEO","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",9.32,
"GEO","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",9.32,
"IND","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",5.64,
"IND","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",5.64,
"IND","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",5.64,
"IND","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",5.64,
"IND","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",5.64,
"IND","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",5.64,
"IDN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",12.16,
"IDN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",12.17,
"IDN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",12.17,
"IDN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",12.17,
"IDN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",12.17,
"IDN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",12.17,
"ISR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",23.33,
"ISR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",23.37,
"ISR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",23.62,
"ISR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",23.94,
"ISR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",24.24,
"ISR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",24.24,
"KAZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",3.51,
"KAZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",3.54,
"KAZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",3.54,
"KAZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",3.54,
"KAZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",3.54,
"KAZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",3.54,
"KGZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",6.87,
"KGZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",7.06,
"KGZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",7.06,
"KGZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",7.06,
"KGZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",7.06,
"KGZ","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",7.06,
"LVA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",17.95,
"LVA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",17.95,
"LVA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",17.95,
"LVA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",17.95,
"LVA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",17.95,
"LVA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",17.95,
"LTU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",16.78,
"LTU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",16.82,
"LTU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",16.82,
"LTU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",16.82,
"LTU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",16.82,
"LTU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",16.82,
"MLT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",20.91,
"MLT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",20.91,
"MLT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",20.96,
"MLT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",20.96,
"MLT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",20.96,
"MLT","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",20.96,
"MDA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",4.35,
"MDA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",4.35,
"MDA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",4.35,
"MDA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",4.35,
"MDA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",4.35,
"MDA","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",4.35,
"PER","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",20.69,
"PER","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",20.73,
"PER","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",20.77,
"PER","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",21.68,
"PER","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",21.68,
"PER","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",21.68,
"ROU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",25.19,
"ROU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",25.39,
"ROU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",25.39,
"ROU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",25.39,
"ROU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",25.39,
"ROU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",25.39,
"RUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",9.64,
"RUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",9.64,
"RUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",9.65,
"RUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",9.65,
"RUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",9.65,
"RUS","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",9.65,
"SAU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",4.74,
"SAU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",4.74,
"SAU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",4.74,
